id,title,priority,action
WFC-017,協尋與救助平台,URGENT,Vercel inactive — will likely disappear soon. Metadata-only safest.
WFC-017,協尋與救助平台,SHORT-TERM,Internet Archive snapshot of landing page.
WFC-018,宏福苑消息,SHORT-TERM,collection.news niche — priority Internet Archive capture.
WFC-018,宏福苑消息,SHORT-TERM,Browsertrix crawl.
WFC-019,宏福苑 Threads Back Up,URGENT,HIGH COMBINED RISK: victim accounts + pseudonymous curator + political sensitivity.
WFC-019,宏福苑 Threads Back Up,URGENT,Do NOT publicly mirror or index the Google Drive contents.
WFC-019,宏福苑 Threads Back Up,RECOMMENDED,Engage @hkbackupper for curator-directed preservation.
WFC-019,宏福苑 Threads Back Up,RECOMMENDED,"Dark archive with tiered access: metadata public, content researcher-only under NDA."
WFC-019,宏福苑 Threads Back Up,ETHICAL,Aggregating public Threads posts creates new exposure for victims.
WFC-020,Threads hashtag ecosystem,SHORT-TERM,Capture aggregate statistics rather than individual posts.
WFC-020,Threads hashtag ecosystem,SHORT-TERM,Hashtag list (in hashtags sheet) is the preservation artefact.
WFC-020,Threads hashtag ecosystem,ETHICAL,Individual post preservation raises consent issues.
WFC-021,Instagram hashtag ecosystem,SHORT-TERM,Same as WFC-020 — hashtag list + aggregate statistics.
WFC-021,Instagram hashtag ecosystem,ETHICAL,Instagram API terms prohibit bulk archiving without permission.
